"english_term","czech_term","context","forbidden_variants","example","status","source","notes"
"pending","nezaúčtováno","Krátký stav nebo odznak bankovní transakce","čekající; pending; nevyřízeno","Nezaúčtováno","approved","SURE; CNB-PAYMENTS","Pro přídavné jméno použít nezaúčtovaná transakce."
"pending transaction","nezaúčtovaná transakce","Transakce přijatá od poskytovatele před konečným zaúčtováním","čekající transakce; rozpracovaná transakce","Částka nezaúčtované transakce se může změnit.","approved","SURE; CNB-PAYMENTS","Význam potvrzuje způsob slučování pending a posted verze ve zdrojovém kódu."
"posted","zaúčtováno","Krátký stav konečně zaúčtované bankovní transakce","zveřejněno; odesláno; postnuto","Zaúčtováno","approved","SURE; CNB-PAYMENTS","Nepřekládat podle obecného významu slovesa post."
"posted transaction","zaúčtovaná transakce","Konečná verze transakce po bankovním zaúčtování","zveřejněná transakce; odeslaná transakce","Nezaúčtovaná transakce byla nahrazena zaúčtovanou verzí.","approved","SURE; CNB-PAYMENTS","Použít jen v bankovním kontextu."
"merchant","obchodník","Subjekt, u kterého byla provedena karetní nebo jiná platba","prodejce; kupec; merchant","Název obchodníka","approved","SURE; CNB-PAYMENTS","Pro konkrétní pole příjemce nepoužívat automaticky."
"provider merchant","obchodník od poskytovatele","Obchodník synchronizovaný z bankovního připojení nebo vytvořený externím poskytovatelem","poskytovatelský obchodník; provider merchant","Obchodníci od poskytovatelů","approved","SURE","Odebrání pouze zruší přiřazení k transakcím; neslibovat odstranění záznamu poskytovatele."
"payee","příjemce","Osoba nebo organizace přijímající platbu","plátce; obchodník; adresát platby","Vybrat příjemce","approved","SURE; CNB-PAYMENTS","Plátce je opačná strana; merchant je užší význam."
"category","kategorie","Klasifikace transakce nebo rozpočtu","rubrika; třída","Změnit kategorii","approved","SURE","Případné systémové názvy kategorií se překládají konzistentně s reporty."
"tag","štítek","Uživatelské označení, které lze přiřadit transakci nebo jiné položce","tag; značka","Přidat štítek k transakci","approved","SURE; MS-CS","Nezaměňovat s kategorií; položka může mít více štítků."
"categorization","kategorizace","Proces přiřazení jedné nebo více transakcí do kategorií","kategorisace; zatřídění bez kontextu","Kategorizovat transakce","approved","SURE; MS-CS","Pro akční tlačítko použít infinitiv kategorizovat."
"attachment","příloha","Soubor připojený k transakci","připojený soubor; attachment","Nahrát přílohu","approved","SURE; MS-CS","Podporované typy jsou obrázky a PDF; technický název Active Storage se nepřekládá."
"split transaction","rozdělená transakce","Transakce rozdělená do několika položek s vlastními kategoriemi a částkami","rozštěpená transakce; split","Upravit rozdělenou transakci","approved","SURE","Akce se pojmenovává rozdělit transakci; opačná akce zrušit rozdělení."
"one-time transaction","jednorázová transakce","Transakce označená jako výjimečná a vyloučená z některých pravidelných rozpočtových výpočtů","jediná transakce; one-time","Označit jako jednorázovou transakci","approved","SURE","Jednorázová neznamená automaticky vyloučená ze všech přehledů."
"duplicate transaction","duplicitní transakce","Druhý záznam téže skutečné transakce určený ke kontrole nebo sloučení","dvojitá transakce; duplikovaná transakce","Nalezena možná duplicitní transakce","approved","SURE","Odlišit od záměrné akce Duplikovat, která vytváří nový samostatný záznam."
"budget","rozpočet","Plánovaná částka výdajů nebo příjmů za období","budget; rozpočtový plán","Vytvořit rozpočet","approved","SURE","U sloves rozlišit vytvoření rozpočtu a naplánování konkrétní částky."
"income","příjem","Příchozí peníze nebo příjmová klasifikace","výnos; tržba; příchozí","Příjmy za tento měsíc","approved","SURE; CNB-ACCOUNTS","U investičního return se nepoužívá automaticky."
"expense","výdaj","Odchozí peníze nebo výdajová klasifikace","náklad; útrata; odchozí","Výdaje podle kategorií","approved","SURE; CNB-ACCOUNTS","Náklad je účetní pojem a nemusí být totožný s peněžním výdajem."
"asset","majetek","Hlavní osobní finanční klasifikace účtů a majetkových položek","pasivum; hodnota; asset","Celková hodnota majetku","approved","SURE; CNB-ACCOUNTS","Preferovaná uživatelská varianta; viz D-005."
"asset","aktivum","Odborný investiční nebo účetní kontext","majetnost; asset","Třída aktiv","approved","SURE; CNB-INVEST; CNB-BALANCE","Nepřenášet automaticky do hlavního osobního přehledu."
"liability","závazek","Dluhová strana osobních financí nebo povinnost splatit částku","pasivum; odpovědnost; liability","Celkové závazky","approved","SURE; CNB-ACCOUNTS; CNB-BALANCE","V názvu typu účtu může být přesnější úvěr, hypotéka nebo kreditní karta."
"net worth","čisté jmění","Majetek po odečtení závazků","čistá hodnota; netto jmění; net worth","Vývoj čistého jmění","approved","SURE; CNB-BALANCE","Nevztahovat k čistému příjmu."
"investment","investice","Investovaný majetek, investiční účet nebo činnost","vklad; investment","Investiční účet","approved","SURE; CNB-INVEST","Konkrétní produkt lze pojmenovat přesněji."
"trade","obchod","Nákup nebo prodej investičního nástroje evidovaný v portfoliu","transakce; trade; směna","Odstranit obchod","approved","SURE; CNB-INVEST","V obecném přehledu pohybů lze použít záznam; nákup a prodej se pojmenovávají přesně."
"holding","pozice","Množství a hodnota určitého investičního nástroje v účtu","držba; holding; vlastnictví","Otevřít pozici","approved","SURE; CNB-INVEST","Výraz otevřít použít jen pro akci, která pozici skutečně zakládá."
"holdings","pozice","Přehled investičních pozic v portfoliu","držby; holdingy; vlastnictví","Pozice v portfoliu","approved","SURE; CNB-INVEST","České množné číslo se řídí větou."
"brokerage cash","volná hotovost","Neinvestovaná hotovost na investičním účtu dostupná k obchodování","brokerská hotovost; cash","Volná hotovost v portfoliu","approved","SURE","Nejde nutně o fyzickou hotovost; význam určuje dostupnost prostředků v investičním účtu."
"security","investiční nástroj","Model obchodovaného nástroje, ceny, tickeru a trhu v Sure","bezpečnost; cennost; security","Vyhledat investiční nástroj","approved","SURE; CNB-INVEST","Širší výchozí pojem pro model Sure."
"security","cenný papír","Kontext, kde jde prokazatelně o akcii, dluhopis nebo jiný cenný papír","bezpečnost; security","Cena cenného papíru","approved","CNB-INVEST","Nepoužít pro kryptoaktivum nebo jiný nástroj, který cenným papírem není."
"return","výnos","Výsledek investice vyjádřený částkou","návrat; návratnost; vratka","Celkový výnos: %{amount}","approved","SURE; CNB-INVEST","Ověřit, zda hodnota není procentní sazba."
"return","výnosnost","Relativní výsledek investice vyjádřený procentem","návratnost; výnos","Výnosnost: %{percent}","approved","SURE; CNB-INVEST","Použít pro poměr nebo sazbu, ne pro absolutní částku."
"cost basis","pořizovací hodnota","Celkový základ pořizovacích nákladů investiční pozice používaný pro výpočet výnosu","nákladová báze; cost basis; účetní hodnota","Nastavit pořizovací hodnotu","approved","SURE; CNB-DIGITAL-ASSETS","Nejde o totéž co aktuální tržní ani účetní hodnota; právní daňový základ může mít užší pravidla."
"average cost","průměrná pořizovací cena","Pořizovací hodnota připadající na jednu jednotku investiční pozice","průměrný náklad; average cost","Průměrná pořizovací cena za jednotku","approved","SURE","V rozhraní pozic se vztahuje k jedné jednotce, nikoli k celé pozici."
"book value","celková pořizovací hodnota","Hodnota investiční pozice vypočtená v Sure jako průměrná pořizovací cena krát množství","účetní hodnota; knižní hodnota; book value; tržní hodnota","Celková pořizovací hodnota pozice","approved","SURE; CNB-DIGITAL-ASSETS; CNB-BOOK-VALUE","Anglický štítek je v tomto call-site nepřesný; výpočet představuje cost basis celé pozice, nikoli účetní carrying amount."
"unrealized gain/loss","nerealizovaný zisk nebo ztráta","Rozdíl hodnoty dosud držené pozice, který nebyl realizován prodejem","nerealizovaný výnos; unrealized return","Nerealizovaný zisk nebo ztráta","approved","SURE; CNB-ESA","Rod výrazu se ve větě přizpůsobuje tomu, zda jde o zisk, nebo ztrátu."
"principal","jistina","Původní nebo nesplacená část úvěru bez úroku","základ; hlavní částka; principal","Nesplacená jistina","approved","SURE; CNB-CREDIT","U investice může anglické principal označovat vložený kapitál; kontext ověřit."
"interest","úrok","Cena úvěru nebo výnos úročeného vkladu","zájem; interest","Zaplacený úrok","approved","SURE; CNB-CREDIT","Pro procentní veličinu použít úroková sazba."
"interest rate","úroková sazba","Procentní sazba úročení","míra úroku; procento úroku","Roční úroková sazba","approved","SURE; CNB-CREDIT","Nezaměnit s absolutní částkou úroku."
"APR","roční úroková sazba (APR)","Pole kreditní karty, kde APR představuje anualizovanou úrokovou sazbu","RPSN; roční procentní sazba nákladů","Roční úroková sazba (APR): 15,99 %","approved","SURE; CFPB-APR; CNB-RPSN","Nepřekládat jako RPSN: RPSN vyjadřuje celkové náklady úvěru včetně dalších nákladů, zatímco kreditní APR v tomto kontextu označuje anualizovanou úrokovou sazbu."
"tax treatment","daňový režim","Způsob daňového posouzení investičního nebo jiného účtu","daňové zacházení; daňový treatment","Daňově zvýhodněný účet","approved","SURE","Konkrétní volby se překládají podle účinku: zdanitelný, s odloženým zdaněním, osvobozený nebo daňově zvýhodněný."
"loan","úvěr","Bankovní nebo jiný formální dluhový produkt","půjčka; loan","Zůstatek úvěru","approved","SURE; CNB-CREDIT","Půjčka je vhodná jen pro konkrétní neformální nebo smluvně tak nazvaný vztah."
"mortgage","hypotéka","Krátký název typu účtu nebo produktu v rozhraní","mortgage; zástava","Přidat hypotéku","approved","SURE; CNB-CREDIT","V právním či vysvětlujícím textu použít hypoteční úvěr."
"mortgage loan","hypoteční úvěr","Formální označení úvěru zajištěného nemovitostí","hypotéční úvěr; mortgage","Podmínky hypotečního úvěru","approved","CNB-CREDIT","Správně hypoteční, nikoli hypotéční."
"recurring transaction","opakující se transakce","Automaticky rozpoznaná nebo ručně nastavená řada transakcí, která se opakuje","rekurentní transakce; opakovaná transakce; pravidelná platba","Označit jako opakující se transakci","approved","SURE; CNB-RECURRING","Výraz popisuje pokračující řadu a neznamená nutně pevnou částku ani přesný interval."
"reconciliation","odsouhlasení výpisu","Porovnání počátečního a konečného zůstatku výpisu s evidencí","rekonciliace; smíření; vyrovnání","Spustit odsouhlasení výpisu","approved","SURE","Jeden z více významů; viz D-009."
"reconciliation","dorovnání zůstatku","Vytvoření nebo správa korekce, která srovná evidovaný a zadaný zůstatek","rekonciliace; odsouhlasení; smíření","Dorovnání zůstatku k %{date}","approved","SURE","Jeden z více významů; ověřit použití konkrétního klíče v ReconciliationManager."
"reconciliation","spárování nezaúčtované transakce","Nahrazení předběžné transakce její konečnou zaúčtovanou verzí při importu od poskytovatele","rekonciliace; odsouhlasení; smíření","%{count} nezaúčtovaná transakce byla spárována","approved","SURE","Jeden z více významů; používá se ve výsledku synchronizace pending→posted."
"synchronization","synchronizace","Proces výměny a aktualizace dat s poskytovatelem","sync; synchronisace; sladění","Probíhá synchronizace…","approved","SURE; MS-CS","V průběhovém textu použít výpustku jen při skutečně probíhající operaci."
"sync","synchronizovat","Akce na tlačítku nebo příkaz k aktualizaci dat","syncnout; sesynchronizovat; synchronisovat","Synchronizovat","approved","SURE; MS-CS","Pro podstatné jméno použít synchronizace."
"synced","synchronizováno","Krátký neutrální stav dokončené synchronizace","syncnuto; sesynchronizováno","Naposledy synchronizováno %{time}","approved","SURE","Proměnnou a časový formát zachovat."
"institution","finanční instituce","Banka, broker nebo jiná napojená finanční organizace","ústav; instituce poskytovatele","Vybrat finanční instituci","approved","SURE; CNB-PAYMENTS","V jednoznačném okolí lze zkrátit na instituce."
"provider","poskytovatel","Externí služba zajišťující připojení, import nebo ceny","provider; dodavatel","Vybrat poskytovatele","approved","SURE","Název konkrétní služby se nepřekládá."
"data provider","poskytovatel dat","Služba poskytující transakční, institucionální nebo tržní data","datový provider; dodavatel dat","Poskytovatel tržních dat","approved","SURE","Použít, je-li nutné odlišit od jiného druhu poskytovatele."
"import","import","Název funkce nebo procesu načtení externích dat","importace; dovoz","Import transakcí","approved","SURE; MS-CS","Zavedený odborný název v softwarovém rozhraní."
"import","importovat","Akce nebo tlačítko pro načtení externích dat","naimportovat; importnout; dovézt","Importovat soubor CSV","approved","SURE; MS-CS","Infinitiv na tlačítku podle D-002."
"rule","pravidlo","Automatizační pravidlo pro kategorizaci nebo změnu transakcí","zásada; role; regulace","Vytvořit pravidlo","approved","SURE","Vysvětlení má uvést podmínku i provedenou akci."
"condition","podmínka","Test ve vstupní části pravidla, který určuje odpovídající transakce","kondice; filtr bez kontextu","Přidat podmínku","approved","SURE; MS-CS","Interní operátor a hodnota se při lokalizaci nemění."
"action","akce","Operace provedená pravidlem s transakcemi, které splní podmínky","úkon; činnost; action","Přidat akci","approved","SURE; MS-CS","Odlišit od obecné historie aktivity a od uživatelského pohybu na účtu."
"cash","hotovost","Fyzické peníze nebo hotovostní složka majetku","cash; peníze","Hotovost","approved","SURE; CNB-ACCOUNTS","U zůstatku na účtu nepoužívat automaticky."
"debt","dluh","Osobní dlužná částka nebo souhrn dluhů","závazek; debit; debt","Splatit dluh","approved","SURE; CNB-CREDIT","V rozvahové klasifikaci se používá závazek; konkrétní produkt může být úvěr."
"statement","výpis","Bankovní nebo účetní výpis za období","prohlášení; statement","Nahrát výpis","approved","SURE; CNB-PAYMENTS","Je-li výpis bankovní, lze to uvést při prvním použití."
"exchange rate","směnný kurz","Kurz mezi dvěma měnami","výměnný poměr; kurzovní lístek","Použitý směnný kurz","approved","SURE; CNB-ACCOUNTS","Kurzovní lístek je přehled kurzů, nikoli jednotlivý kurz."
"portfolio","portfolio","Soubor investic nebo investičních pozic","portfólio; investiční účet","Hodnota portfolia","approved","SURE; CNB-INVEST","V češtině zavedený odborný výraz."
"ticker","ticker","Burzovní symbol investičního nástroje","tikr; značka akcie","Vyhledat podle tickeru","approved","SURE; CNB-INVEST","Samotná hodnota tickeru se nikdy nepřekládá."
